ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
PR;TAPEJARA;13222;VEREADOR;CLAUDENIR ALVES DE MORAIS;CHUPETA DO ESPORTE;PT;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
RJ;NOVA FRIBURGO;10224;VEREADOR;EDINÉIA  PATRÍCIA DE ANDRADE ALVES;PATRÍCIA ALVES;REPUBLICANOS;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
SC;CUNHATAÍ;15678;VEREADOR;VILMAR ANDRÉ BRANDÃO;VILMAR;MDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
PE;PETROLINA;12000;VEREADOR;AEROLANDE AMOS DA CRUZ;AERO SIM;PDT;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
MG;CLÁUDIO;20500;VEREADOR;JULIO CESAR SILVA DE REZENDE;JULIO REZENDE;PODE;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SE;SANTO AMARO DAS BROTAS;77777;VEREADOR;MARCIO DOS SANTOS CRUZ;MARCIO GHUINCHOS;SOLIDARIEDADE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
PE;TAMANDARÉ;10;PREFEITO;ISAIAS HONORATO DA SILVA MARQUES;CARRAPICHO;REPUBLICANOS;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PRETA
PA;IPIXUNA DO PARÁ;65555;VEREADOR;GILCINEY LIMA E SILVA;NEINHO LIMA;PC do B;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
SC;BARRA VELHA;35142;VEREADOR;ROSENO RODRIGUES CARDOSO;ZENO DA FIGUEIRINHA;PMB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PRETA
MA;SÍTIO NOVO;11;PREFEITO;ZEIMAR TEIXEIRA DE ARRUDA MACIEL;ZEIMAR TEIXEIRA;PP;FEMININO;SUPERIOR COMPLETO;BRANCA
SC;TIMBÉ DO SUL;22022;VEREADOR;PETAR NETTO AMARO;PETER;PL;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
MG;SERRANOS;11888;VEREADOR;ANTÔNIO CASSIANO PEREIRA;TONINHO PRUDENTE;PP;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SP;PRAIA GRANDE;22192;VEREADOR;JOSÉ UILTON NASCIMENTO DOS SANTOS;ATLETA JOSÉ UILTON;PL;MASCULINO;SUPERIOR INCOMPLETO;PARDA
PR;PITANGUEIRAS;44;VICE-PREFEITO;RONALDO ADRIANO SILVA;MANJUBA;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
RS;TORRES;44888;VEREADOR;CINTIA VIEIRA ALONSO;CINTIA;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
SP;GUARULHOS;33147;VEREADOR;ANISTALDO LUIZ LOPES DA SILVA;PR ANISTALDO;MOBILIZA;MASCULINO;SUPERIOR COMPLETO;BRANCA
AL;JACUÍPE;15000;VEREADOR;SUZINEY MOREIRA CAVALCANTI DA SILVA;PROFESSORA SUZINEY;MDB;FEMININO;SUPERIOR COMPLETO;BRANCA
AL;INHAPI;43;PREFEITO;JOÃO ROSALVO DA SILVA;JOÃOZINHO PAIVA;PV;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;LIMA DUARTE;30999;VEREADOR;JESSICA APARECIDA DA SILVA;JESSICA SILVA;NOVO;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SP;GENERAL SALGADO;55678;VEREADOR;VAGNER JOSÉ DOS SANTOS;VAGNER PROFESSOR;PSD;MASCULINO;SUPERIOR COMPLETO;PARDA
MG;RIO NOVO;11222;VEREADOR;FABIANO ARAUJO RODRIGUES;FABIANO;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
AM;PRESIDENTE FIGUEIREDO;30;PREFEITO;ANDERSON RODRIGUES LEAL DE MELO;ANDERSON LEAL;NOVO;MASCULINO;SUPERIOR COMPLETO;BRANCA
CE;CAMOCIM;13555;VEREADOR;FRANCISCO ATAIDE ARAUJO DA SILVA;ATAÍDE DA CLEMENTE CONSTRUÇÕES;PT;MASCULINO;SUPERIOR COMPLETO;BRANCA
